preco,ativo,moeda,horario_coleta,inserido_em
63.86000061035156,CL=F,USD,,2026-02-18 10:56:38.545147
76.56500244140625,SI=F,USD,,2026-02-18 10:56:38.772410
67176.545,BTC,USD,2026-02-18 10:57:09.595796,
4974.0,GC=F,USD,,2026-02-18 10:57:09.768998
63.86000061035156,CL=F,USD,,2026-02-18 10:57:09.939510
76.58000183105469,SI=F,USD,,2026-02-18 10:57:10.115542
67141.765,BTC,USD,2026-02-18 10:57:40.836817,
4973.60009765625,GC=F,USD,,2026-02-18 10:57:41.012567
63.83000183105469,CL=F,USD,,2026-02-18 10:57:41.185034
76.54000091552734,SI=F,USD,,2026-02-18 10:57:41.363652
67183.985,BTC,USD,2026-02-18 10:58:12.142987,
4974.89990234375,GC=F,USD,,2026-02-18 10:58:12.325323
63.84000015258789,CL=F,USD,,2026-02-18 10:58:12.506501
76.54000091552734,SI=F,USD,,2026-02-18 10:58:12.682374
67195.995,BTC,USD,2026-02-18 10:58:43.375588,
4973.39990234375,GC=F,USD,,2026-02-18 10:58:43.554100
63.83000183105469,CL=F,USD,,2026-02-18 10:58:43.729982
76.55000305175781,SI=F,USD,,2026-02-18 10:58:43.923083
67223.505,BTC,USD,2026-02-18 10:59:14.694619,
4974.2998046875,GC=F,USD,,2026-02-18 10:59:14.871626
63.81999969482422,CL=F,USD,,2026-02-18 10:59:15.046432
76.49500274658203,SI=F,USD,,2026-02-18 10:59:15.228688
67198.435,BTC,USD,2026-02-18 10:59:45.974164,
4975.10009765625,GC=F,USD,,2026-02-18 10:59:46.152489
63.81999969482422,CL=F,USD,,2026-02-18 10:59:46.335442
76.56999969482422,SI=F,USD,,2026-02-18 10:59:46.543930
67215.055,BTC,USD,2026-02-18 11:00:17.542707,
4971.7998046875,GC=F,USD,,2026-02-18 11:00:17.722949
63.790000915527344,CL=F,USD,,2026-02-18 11:00:17.904905
76.5250015258789,SI=F,USD,,2026-02-18 11:00:18.089627
67271.405,BTC,USD,2026-02-18 11:00:48.824056,
4973.39990234375,GC=F,USD,,2026-02-18 11:00:48.998582
63.810001373291016,CL=F,USD,,2026-02-18 11:00:50.032976
76.55500030517578,SI=F,USD,,2026-02-18 11:00:50.360805
67259.505,BTC,USD,2026-02-18 11:01:21.341462,
4974.7998046875,GC=F,USD,,2026-02-18 11:01:21.531646
63.81999969482422,CL=F,USD,,2026-02-18 11:01:21.713884
76.58499908447266,SI=F,USD,,2026-02-18 11:01:21.895796
67232.995,BTC,USD,2026-02-18 11:01:52.757846,
4972.5,GC=F,USD,,2026-02-18 11:01:52.967735
63.810001373291016,CL=F,USD,,2026-02-18 11:01:53.141513
76.5250015258789,SI=F,USD,,2026-02-18 11:01:53.333958
67233.795,BTC,USD,2026-02-18 11:02:24.302077,
4970.60009765625,GC=F,USD,,2026-02-18 11:02:24.480944
63.75,CL=F,USD,,2026-02-18 11:02:24.674002
76.43000030517578,SI=F,USD,,2026-02-18 11:02:24.867889
67272.435,BTC,USD,2026-02-18 11:02:55.416611,
4970.5,GC=F,USD,,2026-02-18 11:02:55.594597
63.75,CL=F,USD,,2026-02-18 11:02:55.770738
76.45500183105469,SI=F,USD,,2026-02-18 11:02:55.953872
preco,ativo,moeda,horario_de_coleta,horario_coleta
67248.425,BTC,USD,2026-02-18 11:14:24.226205,
4978.2001953125,GC=F,USD,,2026-02-18 11:14:30.993982
63.9900016784668,CL=F,USD,,2026-02-18 11:14:31.158013
76.8949966430664,SI=F,USD,,2026-02-18 11:14:31.315887
preco,ativo,moeda,horario_de_coleta,horario_coleta
67275.595,BTC,USD,2026-02-18 11:15:02.226241,
4979.2001953125,GC=F,USD,,2026-02-18 11:15:02.388144
63.970001220703125,CL=F,USD,,2026-02-18 11:15:02.550526
76.91999816894531,SI=F,USD,,2026-02-18 11:15:02.711915
